CALLS UPDATED,CALLS VOLUME,CALLS HIGH,CALLS LOW,CALLS PRIOR SETTLE,CALLS CHANGE,CALLS LAST,PUTS LAST,PUTS CHANGE,PUTS PRIOR SETTLE,PUTS LOW,PUTS HIGH,PUTS VOLUME,PUTS UPDATED,STRIKE PRICE,Date
18:04:15 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:55 CT 04 Feb 2021,0,0,0,13.1520,0,0,16000.0,2021-12-01
18:03:59 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:24 CT 04 Feb 2021,0,0,0,12.9020,0,0,15750.0,2021-12-01
18:06:00 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:23 CT 04 Feb 2021,0,0,0,12.6520,0,0,15500.0,2021-12-01
18:04:17 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:03:53 CT 04 Feb 2021,0,0,0,12.4020,0,0,15250.0,2021-12-01
18:05:12 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:06:06 CT 04 Feb 2021,0,0,0,8.9020,0,0,11750.0,2021-12-01
18:05:34 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:48 CT 04 Feb 2021,0,0,0,12.1520,0,0,15000.0,2021-12-01
18:05:19 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:52 CT 04 Feb 2021,0,0,0,11.6520,0,0,14500.0,2021-12-01
18:05:59 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:25 CT 04 Feb 2021,0,0,0,11.4020,0,0,14250.0,2021-12-01
18:05:40 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:06:12 CT 04 Feb 2021,0,0,0,11.1520,0,0,14000.0,2021-12-01
18:05:12 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:23 CT 04 Feb 2021,0,0,0,15.1520,0,0,18000.0,2021-12-01
18:04:55 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:48 CT 04 Feb 2021,0,0,0,10.9020,0,0,13750.0,2021-12-01
18:05:44 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:41 CT 04 Feb 2021,0,0,0,10.6520,0,0,13500.0,2021-12-01
18:04:07 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:16 CT 04 Feb 2021,0,0,0,10.4020,0,0,13250.0,2021-12-01
18:03:50 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:48 CT 04 Feb 2021,0,0,0,10.1520,0,0,13000.0,2021-12-01
18:04:15 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:43 CT 04 Feb 2021,0,0,0,9.9020,0,0,12750.0,2021-12-01
18:04:21 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:06:06 CT 04 Feb 2021,0,0,0,9.6520,0,0,12500.0,2021-12-01
18:04:21 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:54 CT 04 Feb 2021,0,0,0,9.4020,0,0,12250.0,2021-12-01
18:04:15 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:26 CT 04 Feb 2021,0,0,0,11.9020,0,0,14750.0,2021-12-01
18:04:56 CT 04 Feb 2021,0,0,0,0.0005,0,0,18:03:53 CT 04 Feb 2021,0,0,0,4.6525,0,0,7500.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0292,0,0,18:05:27 CT 04 Feb 2021,0,0,0,1.8720,0,0,4700.0,2021-12-01
18:05:34 CT 04 Feb 2021,0,0,0,0.0005,0,0,18:05:03 CT 04 Feb 2021,0,0,0,4.5525,0,0,7400.0,2021-12-01
18:05:41 CT 04 Feb 2021,0,0,0,0.0035,0,0,18:05:16 CT 04 Feb 2021,0,0,0,3.1055,0,0,5950.0,2021-12-01
18:04:21 CT 04 Feb 2021,0,0,0,0.0037,0,0,18:03:48 CT 04 Feb 2021,0,0,0,3.0557,0,0,5900.0,2021-12-01
18:05:05 CT 04 Feb 2021,0,0,0,0.0040,0,0,18:05:32 CT 04 Feb 2021,0,0,0,3.0060,0,0,5850.0,2021-12-01
18:06:06 CT 04 Feb 2021,0,0,0,0.0042,0,0,18:03:51 CT 04 Feb 2021,0,0,0,2.9562,0,0,5800.0,2021-12-01
18:05:40 CT 04 Feb 2021,0,0,0,0.0045,0,0,18:06:00 CT 04 Feb 2021,0,0,0,2.9065,0,0,5750.0,2021-12-01
18:04:36 CT 04 Feb 2021,0,0,0,0.0049,0,0,18:03:57 CT 04 Feb 2021,0,0,0,2.8569,0,0,5700.0,2021-12-01
18:04:08 CT 04 Feb 2021,0,0,0,0.0052,0,0,18:04:20 CT 04 Feb 2021,0,0,0,2.8072,0,0,5650.0,2021-12-01
18:04:28 CT 04 Feb 2021,0,0,0,0.0056,0,0,18:04:02 CT 04 Feb 2021,0,0,0,2.7576,0,0,5600.0,2021-12-01
18:03:45 CT 04 Feb 2021,0,0,0,0.0059,0,0,18:05:05 CT 04 Feb 2021,0,0,0,2.7079,0,0,5550.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0089,0,0,18:03:52 CT 04 Feb 2021,0,0,0,2.6584,0,0,5500.0,2021-12-01
18:04:24 CT 04 Feb 2021,0,0,0,0.0005,0,0,18:05:52 CT 04 Feb 2021,0,0,0,4.6025,0,0,7450.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0045,0,0,18:03:53 CT 04 Feb 2021,0,0,0,3.1553,0,0,6000.0,2021-12-01
18:06:08 CT 04 Feb 2021,0,0,0,0.0073,0,0,18:05:53 CT 04 Feb 2021,0,0,0,2.5593,0,0,5400.0,2021-12-01
18:04:51 CT 04 Feb 2021,0,0,0,0.0084,0,0,18:06:03 CT 04 Feb 2021,0,0,0,2.4604,0,0,5300.0,2021-12-01
18:06:07 CT 04 Feb 2021,0,0,0,0.0090,0,0,18:04:55 CT 04 Feb 2021,0,0,0,2.4110,0,0,5250.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0138,0,0,08:23:03 CT 05 Feb 2021,0,0,0,2.1530,0,0,5200.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0149,0,0,18:06:09 CT 04 Feb 2021,0,0,0,2.3124,0,0,5150.0,2021-12-01
18:04:20 CT 04 Feb 2021,0,0,0,0.0112,0,0,18:06:05 CT 04 Feb 2021,0,0,0,2.2632,0,0,5100.0,2021-12-01
18:06:04 CT 04 Feb 2021,0,0,0,0.0120,0,0,18:05:15 CT 04 Feb 2021,0,0,0,2.2140,0,0,5050.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0186,0,0,18:04:45 CT 04 Feb 2021,0,0,0,2.1649,0,0,5000.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0200,0,0,18:06:02 CT 04 Feb 2021,0,0,0,2.1158,0,0,4950.0,2021-12-01
18:04:24 CT 04 Feb 2021,0,0,0,0.0149,0,0,18:04:53 CT 04 Feb 2021,0,0,0,2.0669,0,0,4900.0,2021-12-01
18:04:08 CT 04 Feb 2021,0,0,0,0.0160,0,0,18:03:55 CT 04 Feb 2021,0,0,0,2.0180,0,0,4850.0,2021-12-01
18:05:41 CT 04 Feb 2021,0,0,0,0.0172,0,0,18:04:15 CT 04 Feb 2021,0,0,0,1.9692,0,0,4800.0,2021-12-01
18:04:51 CT 04 Feb 2021,0,0,0,0.0078,0,0,18:04:01 CT 04 Feb 2021,0,0,0,2.5098,0,0,5350.0,2021-12-01
18:03:55 CT 04 Feb 2021,0,0,0,0.0031,0,0,18:05:12 CT 04 Feb 2021,0,0,0,3.2051,0,0,6050.0,2021-12-01
18:04:40 CT 04 Feb 2021,0,0,0,0.0068,0,0,18:06:10 CT 04 Feb 2021,0,0,0,2.6088,0,0,5450.0,2021-12-01
18:04:20 CT 04 Feb 2021,0,0,0,0.0027,0,0,18:04:22 CT 04 Feb 2021,0,0,0,3.3047,0,0,6150.0,2021-12-01
18:05:19 CT 04 Feb 2021,0,0,0,0.0029,0,0,18:05:19 CT 04 Feb 2021,0,0,0,3.2549,0,0,6100.0,2021-12-01
18:04:56 CT 04 Feb 2021,0,0,0,0.0006,0,0,18:04:53 CT 04 Feb 2021,0,0,0,4.5026,0,0,7350.0,2021-12-01
18:04:59 CT 04 Feb 2021,0,0,0,0.0006,0,0,18:04:44 CT 04 Feb 2021,0,0,0,4.4526,0,0,7300.0,2021-12-01
18:06:08 CT 04 Feb 2021,0,0,0,0.0007,0,0,18:04:48 CT 04 Feb 2021,0,0,0,4.4027,0,0,7250.0,2021-12-01
18:05:44 CT 04 Feb 2021,0,0,0,0.0007,0,0,18:06:03 CT 04 Feb 2021,0,0,0,4.3527,0,0,7200.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0011,0,0,18:05:21 CT 04 Feb 2021,0,0,0,4.3028,0,0,7150.0,2021-12-01
18:05:27 CT 04 Feb 2021,0,0,0,0.0008,0,0,18:05:32 CT 04 Feb 2021,0,0,0,4.2528,0,0,7100.0,2021-12-01
18:05:54 CT 04 Feb 2021,0,0,0,0.0009,0,0,18:06:10 CT 04 Feb 2021,0,0,0,4.1529,0,0,7000.0,2021-12-01
18:05:49 CT 04 Feb 2021,0,0,0,0.0010,0,0,18:06:02 CT 04 Feb 2021,0,0,0,4.1030,0,0,6950.0,2021-12-01
18:04:17 CT 04 Feb 2021,0,0,0,0.0010,0,0,18:05:29 CT 04 Feb 2021,0,0,0,4.0530,0,0,6900.0,2021-12-01
18:04:46 CT 04 Feb 2021,0,0,0,0.0011,0,0,18:04:46 CT 04 Feb 2021,0,0,0,4.0031,0,0,6850.0,2021-12-01
18:03:53 CT 04 Feb 2021,0,0,0,0.0012,0,0,18:06:00 CT 04 Feb 2021,0,0,0,3.9532,0,0,6800.0,2021-12-01
18:04:15 CT 04 Feb 2021,0,0,0,0.0009,0,0,18:05:49 CT 04 Feb 2021,0,0,0,4.2029,0,0,7050.0,2021-12-01
18:06:12 CT 04 Feb 2021,0,0,0,0.0013,0,0,18:05:20 CT 04 Feb 2021,0,0,0,3.8533,0,0,6700.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0017,0,0,18:05:14 CT 04 Feb 2021,0,0,0,3.9033,0,0,6750.0,2021-12-01
18:04:56 CT 04 Feb 2021,0,0,0,0.0024,0,0,18:04:45 CT 04 Feb 2021,0,0,0,3.4044,0,0,6250.0,2021-12-01
18:04:08 CT 04 Feb 2021,0,0,0,0.0022,0,0,18:06:12 CT 04 Feb 2021,0,0,0,3.4542,0,0,6300.0,2021-12-01
18:05:02 CT 04 Feb 2021,0,0,0,0.0021,0,0,18:04:14 CT 04 Feb 2021,0,0,0,3.5041,0,0,6350.0,2021-12-01
18:05:53 CT 04 Feb 2021,0,0,0,0.0019,0,0,18:04:28 CT 04 Feb 2021,0,0,0,3.5539,0,0,6400.0,2021-12-01
18:04:49 CT 04 Feb 2021,0,0,0,0.0025,0,0,18:04:51 CT 04 Feb 2021,0,0,0,3.3545,0,0,6200.0,2021-12-01
18:03:59 CT 04 Feb 2021,0,0,0,0.0017,0,0,18:03:54 CT 04 Feb 2021,0,0,0,3.6537,0,0,6500.0,2021-12-01
18:04:08 CT 04 Feb 2021,0,0,0,0.0016,0,0,18:05:10 CT 04 Feb 2021,0,0,0,3.7036,0,0,6550.0,2021-12-01
18:05:25 CT 04 Feb 2021,0,0,0,0.0015,0,0,18:05:50 CT 04 Feb 2021,0,0,0,3.7535,0,0,6600.0,2021-12-01
18:04:09 CT 04 Feb 2021,0,0,0,0.0014,0,0,18:03:58 CT 04 Feb 2021,0,0,0,3.8034,0,0,6650.0,2021-12-01
18:04:40 CT 04 Feb 2021,0,0,0,0.0018,0,0,18:05:11 CT 04 Feb 2021,0,0,0,3.6038,0,0,6450.0,2021-12-01
08:23:03 CT 05 Feb 2021,0,0,0,0.4924,0,0,08:23:03 CT 05 Feb 2021,0,0,0,0.2685,0,0,2950.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.3249,0,0,18:04:22 CT 04 Feb 2021,0,0,0,0.6186,0,0,3350.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.3421,0,0,18:04:27 CT 04 Feb 2021,0,0,0,0.5827,0,0,3300.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.3602,0,0,18:05:17 CT 04 Feb 2021,0,0,0,0.5476,0,0,3250.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.3678,0,0,18:05:03 CT 04 Feb 2021,0,0,0,0.5338,0,0,3230.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.3794,0,0,08:23:03 CT 05 Feb 2021,0,0,0,0.4054,0,0,3200.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.3997,0,0,08:23:03 CT 05 Feb 2021,0,0,0,0.3757,0,0,3150.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.4211,0,0,08:23:03 CT 05 Feb 2021,0,0,0,0.3471,0,0,3100.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.4435,0,0,18:06:08 CT 04 Feb 2021,0,0,0,0.4167,0,0,3050.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.4672,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.2933,0,0,3000.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.5136,0,0,18:04:52 CT 04 Feb 2021,0,0,0,0.3350,0,0,2910.0,2022-01-01
18:06:04 CT 04 Feb 2021,0,0,0,0.6156,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.1054,0,0,2510.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.5355,0,0,18:04:24 CT 04 Feb 2021,0,0,0,0.3133,0,0,2870.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.5468,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.2230,0,0,2850.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.5759,0,0,08:23:03 CT 05 Feb 2021,0,0,0,0.2021,0,0,2800.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.5879,0,0,18:04:20 CT 04 Feb 2021,0,0,0,0.2673,0,0,2780.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.6063,0,0,08:23:03 CT 05 Feb 2021,0,0,0,0.1825,0,0,2750.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.6380,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.1642,0,0,2700.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.6709,0,0,08:23:03 CT 05 Feb 2021,0,0,0,0.1471,0,0,2650.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.6844,0,0,18:05:03 CT 04 Feb 2021,0,0,0,0.1998,0,0,2630.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.7050,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.1312,0,0,2600.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.7402,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.1164,0,0,2550.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.7546,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.1109,0,0,2530.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.5190,0,0,08:23:03 CT 05 Feb 2021,0,0,0,0.2451,0,0,2900.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.3086,0,0,18:06:09 CT 04 Feb 2021,0,0,0,0.6553,0,0,3400.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0908,0,0,18:05:58 CT 04 Feb 2021,0,0,0,1.6918,0,0,4600.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2840,0,0,18:04:03 CT 04 Feb 2021,0,0,0,0.7156,0,0,3480.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.7765,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.1028,0,0,2500.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0953,0,0,18:04:22 CT 04 Feb 2021,0,0,0,1.6450,0,0,4550.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.1000,0,0,18:05:08 CT 04 Feb 2021,0,0,0,1.5985,0,0,4500.0,2022-01-01
18:04:23 CT 04 Feb 2021,0,0,0,0.0731,0,0,18:05:09 CT 04 Feb 2021,0,0,0,1.5521,0,0,4450.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,0.0769,0,0,18:04:24 CT 04 Feb 2021,0,0,0,1.5059,0,0,4400.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.1160,0,0,18:05:03 CT 04 Feb 2021,0,0,0,1.4600,0,0,4350.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.1219,0,0,18:04:27 CT 04 Feb 2021,0,0,0,1.4142,0,0,4300.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.1282,0,0,18:04:22 CT 04 Feb 2021,0,0,0,1.3687,0,0,4250.0,2022-01-01
18:06:07 CT 04 Feb 2021,0,0,0,0.0945,0,0,18:03:45 CT 04 Feb 2021,0,0,0,1.3235,0,0,4200.0,2022-01-01
18:03:52 CT 04 Feb 2021,0,0,0,0.0996,0,0,18:04:24 CT 04 Feb 2021,0,0,0,1.2786,0,0,4150.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.1494,0,0,18:05:11 CT 04 Feb 2021,0,0,0,1.2340,0,0,4100.0,2022-01-01
18:04:23 CT 04 Feb 2021,0,0,0,0.1107,0,0,18:05:06 CT 04 Feb 2021,0,0,0,1.1897,0,0,4050.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.1655,0,0,18:05:01 CT 04 Feb 2021,0,0,0,1.1458,0,0,4000.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.1707,0,0,18:04:04 CT 04 Feb 2021,0,0,0,1.1197,0,0,3970.0,2022-01-01
18:04:40 CT 04 Feb 2021,0,0,0,0.1232,0,0,18:03:51 CT 04 Feb 2021,0,0,0,1.1022,0,0,3950.0,2022-01-01
18:06:07 CT 04 Feb 2021,0,0,0,0.1300,0,0,18:05:32 CT 04 Feb 2021,0,0,0,1.0590,0,0,3900.0,2022-01-01
18:04:35 CT 04 Feb 2021,0,0,0,0.1372,0,0,18:04:52 CT 04 Feb 2021,0,0,0,1.0162,0,0,3850.0,2022-01-01
18:04:17 CT 04 Feb 2021,0,0,0,0.1448,0,0,18:04:22 CT 04 Feb 2021,0,0,0,0.9738,0,0,3800.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2144,0,0,18:04:25 CT 04 Feb 2021,0,0,0,0.9319,0,0,3750.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2259,0,0,18:04:24 CT 04 Feb 2021,0,0,0,0.8906,0,0,3700.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2355,0,0,18:06:04 CT 04 Feb 2021,0,0,0,0.8578,0,0,3660.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2379,0,0,18:03:49 CT 04 Feb 2021,0,0,0,0.8497,0,0,3650.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2507,0,0,18:04:22 CT 04 Feb 2021,0,0,0,0.8095,0,0,3600.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2641,0,0,18:05:12 CT 04 Feb 2021,0,0,0,0.7700,0,0,3550.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2782,0,0,18:03:44 CT 04 Feb 2021,0,0,0,0.7310,0,0,3500.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.2930,0,0,18:05:58 CT 04 Feb 2021,0,0,0,0.6927,0,0,3450.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.7914,0,0,18:05:02 CT 04 Feb 2021,0,0,0,0.1442,0,0,2480.0,2022-01-01
18:04:20 CT 04 Feb 2021,0,0,0,1.5727,0,0,18:04:17 CT 04 Feb 2021,0,0,0,0.0017,0,0,1400.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.8140,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0903,0,0,2450.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,1.8212,0,0,18:04:24 CT 04 Feb 2021,0,0,0,0.0002,0,0,1150.0,2022-01-01
18:05:06 CT 04 Feb 2021,0,0,0,1.8711,0,0,18:03:54 CT 04 Feb 2021,0,0,0,0.0001,0,0,1100.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,1.9211,0,0,18:04:24 CT 04 Feb 2021,0,0,0,0.0001,0,0,1050.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,1.9710,0,0,18:05:06 CT 04 Feb 2021,0,0,0,0.0001,0,0,1000.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,2.0210,0,0,18:06:03 CT 04 Feb 2021,0,0,0,0.0001,0,0,950.0,2022-01-01
18:03:59 CT 04 Feb 2021,0,0,0,2.0710,0,0,18:04:22 CT 04 Feb 2021,0,0,0,0.0001,0,0,900.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,2.1210,0,0,18:04:43 CT 04 Feb 2021,0,0,0,0.0001,0,0,850.0,2022-01-01
18:04:23 CT 04 Feb 2021,0,0,0,2.1710,0,0,18:04:22 CT 04 Feb 2021,0,0,0,0.0001,0,0,800.0,2022-01-01
18:05:15 CT 04 Feb 2021,0,0,0,2.2210,0,0,18:04:22 CT 04 Feb 2021,0,0,0,0.0001,0,0,750.0,2022-01-01
18:04:19 CT 04 Feb 2021,0,0,0,2.2710,0,0,18:05:18 CT 04 Feb 2021,0,0,0,0.0001,0,0,700.0,2022-01-01
18:05:25 CT 04 Feb 2021,0,0,0,2.3210,0,0,18:05:56 CT 04 Feb 2021,0,0,0,0.0001,0,0,650.0,2022-01-01
18:04:27 CT 04 Feb 2021,0,0,0,1.7713,0,0,18:04:22 CT 04 Feb 2021,0,0,0,0.0003,0,0,1200.0,2022-01-01
18:04:23 CT 04 Feb 2021,0,0,0,2.3710,0,0,18:03:53 CT 04 Feb 2021,0,0,0,0.0001,0,0,600.0,2022-01-01
18:05:10 CT 04 Feb 2021,0,0,0,2.4710,0,0,18:05:45 CT 04 Feb 2021,0,0,0,0.0001,0,0,500.0,2022-01-01
18:05:59 CT 04 Feb 2021,0,0,0,2.5210,0,0,18:06:00 CT 04 Feb 2021,0,0,0,0.0001,0,0,450.0,2022-01-01
18:04:41 CT 04 Feb 2021,0,0,0,2.5710,0,0,18:05:08 CT 04 Feb 2021,0,0,0,0.0001,0,0,400.0,2022-01-01
18:05:31 CT 04 Feb 2021,0,0,0,2.6210,0,0,18:05:10 CT 04 Feb 2021,0,0,0,0.0001,0,0,350.0,2022-01-01
18:05:10 CT 04 Feb 2021,0,0,0,2.6710,0,0,18:04:39 CT 04 Feb 2021,0,0,0,0.0001,0,0,300.0,2022-01-01
18:04:24 CT 04 Feb 2021,0,0,0,2.7210,0,0,18:05:10 CT 04 Feb 2021,0,0,0,0.0001,0,0,250.0,2022-01-01
18:03:49 CT 04 Feb 2021,0,0,0,2.7710,0,0,18:05:39 CT 04 Feb 2021,0,0,0,0.0001,0,0,200.0,2022-01-01
18:04:42 CT 04 Feb 2021,0,0,0,2.8210,0,0,18:05:15 CT 04 Feb 2021,0,0,0,0.0001,0,0,150.0,2022-01-01
18:05:10 CT 04 Feb 2021,0,0,0,2.8710,0,0,18:04:56 CT 04 Feb 2021,0,0,0,0.0001,0,0,100.0,2022-01-01
18:05:10 CT 04 Feb 2021,0,0,0,2.9210,0,0,18:05:26 CT 04 Feb 2021,0,0,0,0.0001,0,0,50.0,2022-01-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0824,0,0,18:05:08 CT 04 Feb 2021,0,0,0,1.7857,0,0,4700.0,2022-01-01
18:04:38 CT 04 Feb 2021,0,0,0,2.4210,0,0,18:04:09 CT 04 Feb 2021,0,0,0,0.0001,0,0,550.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.8064,0,0,18:05:38 CT 04 Feb 2021,0,0,0,0.1377,0,0,2460.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,1.7215,0,0,18:04:46 CT 04 Feb 2021,0,0,0,0.0005,0,0,1250.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,1.6222,0,0,18:04:22 CT 04 Feb 2021,0,0,0,0.0012,0,0,1350.0,2022-01-01
18:04:35 CT 04 Feb 2021,0,0,0,0.6763,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0833,0,0,2420.0,2022-01-01
18:05:56 CT 04 Feb 2021,0,0,0,0.6902,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0789,0,0,2400.0,2022-01-01
18:05:59 CT 04 Feb 2021,0,0,0,0.7260,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0685,0,0,2350.0,2022-01-01
08:23:02 CT 05 Feb 2021,0,0,0,0.9002,0,0,18:04:50 CT 04 Feb 2021,0,0,0,0.1020,0,0,2340.0,2022-01-01
18:06:15 CT 04 Feb 2021,0,0,0,0.7630,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0592,0,0,2300.0,2022-01-01
18:04:50 CT 04 Feb 2021,0,0,0,0.7933,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0524,0,0,2260.0,2022-01-01
18:05:34 CT 04 Feb 2021,0,0,0,0.8011,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0508,0,0,2250.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,0.8403,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0433,0,0,2200.0,2022-01-01
18:04:23 CT 04 Feb 2021,0,0,0,0.8807,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0366,0,0,2150.0,2022-01-01
18:04:57 CT 04 Feb 2021,0,0,0,0.8888,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0354,0,0,2140.0,2022-01-01
18:05:25 CT 04 Feb 2021,0,0,0,0.9218,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0307,0,0,2100.0,2022-01-01
18:05:09 CT 04 Feb 2021,0,0,0,1.6718,0,0,18:04:11 CT 04 Feb 2021,0,0,0,0.0008,0,0,1300.0,2022-01-01
18:05:23 CT 04 Feb 2021,0,0,0,0.9641,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0256,0,0,2050.0,2022-01-01
18:04:23 CT 04 Feb 2021,0,0,0,1.0512,0,0,18:05:58 CT 04 Feb 2021,0,0,0,0.0302,0,0,1950.0,2022-01-01
18:04:09 CT 04 Feb 2021,0,0,0,1.0960,0,0,18:04:57 CT 04 Feb 2021,0,0,0,0.0250,0,0,1900.0,2022-01-01
18:04:18 CT 04 Feb 2021,0,0,0,1.1415,0,0,18:05:23 CT 04 Feb 2021,0,0,0,0.0205,0,0,1850.0,2022-01-01
18:04:53 CT 04 Feb 2021,0,0,0,1.1876,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0090,0,0,1800.0,2022-01-01
18:04:22 CT 04 Feb 2021,0,0,0,1.2344,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0071,0,0,1750.0,2022-01-01
18:04:55 CT 04 Feb 2021,0,0,0,1.2815,0,0,18:05:26 CT 04 Feb 2021,0,0,0,0.0105,0,0,1700.0,2022-01-01
